pipe_name,original_diameter,ga_diameter,drl_diameter,ga_change,drl_change
1,1.016,0.762,1.016,-0.254,0.0
10,1.016,0.3048,1.016,-0.7112,0.0
11,1.016,0.508,1.016,-0.508,0.0
12,1.016,0.4064,1.016,-0.6096,0.0
13,0.3048,0.762,0.508,0.4572,0.2032
14,0.3048,0.3048,0.762,0.0,0.4572
15,0.3048,0.4064,0.762,0.10159999999999997,0.4572
16,0.3048,0.3048,0.762,0.0,0.4572
17,0.3048,0.3048,0.762,0.0,0.4572
18,0.3048,0.762,0.762,0.4572,0.4572
19,0.3048,0.6096,0.762,0.3048,0.4572
2,1.016,0.3048,1.016,-0.7112,0.0
20,0.3048,0.6096,0.762,0.3048,0.4572
21,1.016,0.4064,1.016,-0.6096,0.0
22,1.016,0.762,1.016,-0.254,0.0
23,0.3048,0.3048,0.762,0.0,0.4572
24,0.3048,0.6096,0.762,0.3048,0.4572
25,0.3048,0.3048,0.762,0.0,0.4572
26,0.3048,0.4064,0.762,0.10159999999999997,0.4572
27,0.3048,0.508,0.762,0.2032,0.4572
28,0.3048,0.4064,0.762,0.10159999999999997,0.4572
29,0.3048,0.3048,0.762,0.0,0.4572
3,0.3048,0.3048,0.762,0.0,0.4572
30,0.3048,0.508,0.762,0.2032,0.4572
31,0.3048,0.4064,0.762,0.10159999999999997,0.4572
32,0.3048,0.4064,0.762,0.10159999999999997,0.4572
33,0.3048,0.3048,0.762,0.0,0.4572
34,0.3048,0.3048,0.762,0.0,0.4572
4,0.3048,0.3048,0.3048,0.0,0.0
5,0.3048,0.3048,0.3048,0.0,0.0
6,0.3048,0.508,0.3048,0.2032,0.0
7,0.3048,0.3048,0.3048,0.0,0.0
8,0.3048,0.6096,0.3048,0.3048,0.0
9,0.3048,0.508,0.3048,0.2032,0.0
pipe_33_13,0.01,0.508,0.762,0.498,0.752
pipe_35_33,0.01,0.3048,0.762,0.2948,0.752
pipe_37_31,0.01,0.508,0.762,0.498,0.752
pipe_37_35,0.01,0.3048,0.762,0.2948,0.752
