pipe_name,original_diameter,ga_diameter,drl_diameter,ga_change,drl_change
1,1.016,0.762,1.016,-0.254,0.0
10,1.016,0.4064,1.016,-0.6096,0.0
11,1.016,0.6096,1.016,-0.4064,0.0
12,1.016,0.4064,1.016,-0.6096,0.0
13,0.3048,0.3048,0.6096,0.0,0.3048
14,0.3048,0.3048,0.6096,0.0,0.3048
15,0.3048,0.6096,0.6096,0.3048,0.3048
16,0.3048,0.3048,0.6096,0.0,0.3048
17,0.3048,0.3048,0.6096,0.0,0.3048
18,0.3048,0.762,0.6096,0.4572,0.3048
19,0.3048,0.762,0.6096,0.4572,0.3048
2,1.016,0.3048,1.016,-0.7112,0.0
20,0.3048,0.3048,0.6096,0.0,0.3048
21,1.016,0.4064,1.016,-0.6096,0.0
22,1.016,0.508,1.016,-0.508,0.0
23,0.3048,0.3048,0.6096,0.0,0.3048
24,0.3048,0.4064,0.6096,0.10159999999999997,0.3048
25,0.3048,0.508,0.6096,0.2032,0.3048
26,0.3048,0.4064,0.6096,0.10159999999999997,0.3048
27,0.3048,0.3048,0.6096,0.0,0.3048
28,0.3048,0.4064,0.6096,0.10159999999999997,0.3048
29,0.3048,0.3048,0.6096,0.0,0.3048
3,0.3048,0.3048,0.6096,0.0,0.3048
30,0.3048,0.3048,0.6096,0.0,0.3048
31,0.3048,0.3048,0.6096,0.0,0.3048
32,0.3048,0.508,0.6096,0.2032,0.3048
33,0.3048,0.3048,0.6096,0.0,0.3048
34,0.3048,0.508,0.6096,0.2032,0.3048
4,0.3048,0.4064,0.6096,0.10159999999999997,0.3048
5,0.3048,0.3048,0.6096,0.0,0.3048
6,0.3048,0.3048,0.6096,0.0,0.3048
7,0.3048,0.4064,0.6096,0.10159999999999997,0.3048
8,0.3048,0.3048,0.6096,0.0,0.3048
9,0.3048,0.3048,0.6096,0.0,0.3048
pipe_33_13,0.01,0.3048,0.6096,0.2948,0.5996
pipe_35_33,0.01,0.762,0.6096,0.752,0.5996
pipe_37_31,0.01,0.4064,0.6096,0.3964,0.5996
pipe_37_35,0.01,0.508,0.6096,0.498,0.5996
